symbol,expiry,strike,dte,bid,ask,mid,delta,iv,volume,open_interest,target_distance_abs,underlying,spot,vix,daily_sigma_points,target_strike,premium,distance_from_spot,distance_sigma,premium_total,spread_pct,pnl_flat,pnl_plus_0_5,pnl_plus_1,pnl_plus_1_5,pnl_plus_2,max_upside_drag,score,decision,reject_reasons,recommendation_mode
SPY   260701C00730000,20260701,730.0,5,,,8.29,,,0.0,,4.45768583784195,SPY,729.86,20.0,9.19537167568382,734.457685837842,8.29,0.13999999999998636,0.015225050703518754,4145.0,,4145.0,3755.231416215799,3295.4628324316054,2835.694248647423,2375.92566486323,4980.371675683823,2401.8699135106617,REJECT,DTE not allowed by policy [1]; Distance sigma below minimum 0.50,UNCERTAIN_SELECTIVE
SPY   260701C00731000,20260701,731.0,5,,,7.64,,,0.0,,3.45768583784195,SPY,729.86,20.0,9.19537167568382,734.457685837842,7.64,1.1399999999999864,0.12397541287152045,3819.9999999999995,,3820.0,3930.2314162157995,3470.462832431606,3010.6942486474236,2550.92566486323,4805.371675683823,2138.1199135106617,REJECT,DTE not allowed by policy [1]; Distance sigma below minimum 0.50,UNCERTAIN_SELECTIVE
SPY   260701C00732000,20260701,732.0,5,,,6.99,,,0.0,,2.45768583784195,SPY,729.86,20.0,9.19537167568382,734.457685837842,6.99,2.1399999999999864,0.23272577503952213,3495.0000000000005,,3495.0,4105.2314162158,3645.462832431606,3185.6942486474236,2725.92566486323,4630.371675683823,1874.3699135106624,REJECT,DTE not allowed by policy [1]; Distance sigma below minimum 0.50,UNCERTAIN_SELECTIVE
SPY   260630C00730000,20260630,730.0,4,,,7.44,,,0.0,,4.45768583784195,SPY,729.86,20.0,9.19537167568382,734.457685837842,7.44,0.13999999999998636,0.015225050703518754,3720.0000000000005,,3720.0,3330.2314162158,2870.4628324316063,2410.6942486474236,1950.9256648632308,5405.371675683822,1828.1199135106629,REJECT,DTE not allowed by policy [1]; Distance sigma below minimum 0.50,UNCERTAIN_SELECTIVE
SPY   260701C00733000,20260701,733.0,5,,,6.39,,,0.0,,1.4576858378419502,SPY,729.86,20.0,9.19537167568382,734.457685837842,6.39,3.1399999999999864,0.34147613720752384,3195.0,,3195.0,4305.2314162158,3845.462832431606,3385.6942486474236,2925.92566486323,4430.371675683823,1644.369913510662,REJECT,DTE not allowed by policy [1]; Distance sigma below minimum 0.50,UNCERTAIN_SELECTIVE
SPY   260630C00731000,20260630,731.0,4,,,6.78,,,0.0,,3.45768583784195,SPY,729.86,20.0,9.19537167568382,734.457685837842,6.78,1.1399999999999864,0.12397541287152045,3390.0,,3390.0,3500.2314162158,3040.462832431606,2580.6942486474236,2120.925664863231,5235.371675683822,1557.6199135106624,REJECT,DTE not allowed by policy [1]; Distance sigma below minimum 0.50,UNCERTAIN_SELECTIVE
SPY   260701C00734000,20260701,734.0,5,,,5.81,,,0.0,,0.45768583784195016,SPY,729.86,20.0,9.19537167568382,734.457685837842,5.81,4.139999999999986,0.4502264993755255,2904.9999999999995,,2905.0,4515.2314162158,4055.462832431606,3595.6942486474236,3135.925664863229,4220.371675683824,1427.8699135106613,REJECT,DTE not allowed by policy [1]; Distance sigma below minimum 0.50,UNCERTAIN_SELECTIVE
SPY   260630C00732000,20260630,732.0,4,,,6.12,,,0.0,,2.45768583784195,SPY,729.86,20.0,9.19537167568382,734.457685837842,6.12,2.1399999999999864,0.23272577503952213,3060.0,,3060.0,3670.2314162157995,3210.462832431606,2750.6942486474236,2290.925664863231,5065.371675683822,1287.1199135106624,REJECT,DTE not allowed by policy [1]; Distance sigma below minimum 0.50,UNCERTAIN_SELECTIVE
SPY   260701C00735000,20260701,735.0,5,,,5.26,,,0.0,,0.5423141621580498,SPY,729.86,20.0,9.19537167568382,734.457685837842,5.26,5.139999999999986,0.5589768615435272,2629.9999999999995,,2630.0,4469.074335136775,4280.462832431605,3820.6942486474236,3360.92566486323,3995.371675683823,1231.6199135106615,REJECT,DTE not allowed by policy [1],UNCERTAIN_SELECTIVE
SPY   260629C00730000,20260629,730.0,3,,,6.39,,,0.0,,4.45768583784195,SPY,729.86,20.0,9.19537167568382,734.457685837842,6.39,0.13999999999998636,0.015225050703518754,3195.0,,3195.0,2805.2314162157995,2345.4628324316054,1885.6942486474236,1425.92566486323,5930.371675683823,1119.3699135106622,REJECT,DTE not allowed by policy [1]; Distance sigma below minimum 0.50,UNCERTAIN_SELECTIVE
SPY   260630C00733000,20260630,733.0,4,,,5.53,,,0.0,,1.4576858378419502,SPY,729.86,20.0,9.19537167568382,734.457685837842,5.53,3.1399999999999864,0.34147613720752384,2765.0,,2765.0,3875.2314162158,3415.462832431606,2955.6942486474236,2495.925664863231,4860.371675683822,1063.8699135106624,REJECT,DTE not allowed by policy [1]; Distance sigma below minimum 0.50,UNCERTAIN_SELECTIVE
SPY   260701C00736000,20260701,736.0,5,,,4.74,,,0.0,,1.5423141621580498,SPY,729.86,20.0,9.19537167568382,734.457685837842,4.74,6.139999999999986,0.6677272237115289,2370.0000000000005,,2370.0,4209.074335136775,4520.462832431606,4060.6942486474236,3600.92566486323,3755.371675683823,1055.6199135106624,REJECT,DTE not allowed by policy [1],UNCERTAIN_SELECTIVE
SPY   260701C00737000,20260701,737.0,5,,,4.24,,,0.0,,2.54231416215805,SPY,729.86,20.0,9.19537167568382,734.457685837842,4.24,7.139999999999986,0.7764775858795306,2120.0000000000005,,2120.0,3959.0743351367746,4770.462832431605,4310.694248647424,3850.92566486323,3505.371675683823,893.1199135106624,REJECT,DTE not allowed by policy [1],UNCERTAIN_SELECTIVE
SPY   260630C00734000,20260630,734.0,4,,,4.95,,,0.0,,0.45768583784195016,SPY,729.86,20.0,9.19537167568382,734.457685837842,4.95,4.139999999999986,0.4502264993755255,2475.0,,2475.0,4085.2314162157995,3625.462832431606,3165.6942486474236,2705.92566486323,4650.371675683823,847.369913510662,REJECT,DTE not allowed by policy [1]; Distance sigma below minimum 0.50,UNCERTAIN_SELECTIVE
SPY   260629C00731000,20260629,731.0,3,,,5.72,,,0.0,,3.45768583784195,SPY,729.86,20.0,9.19537167568382,734.457685837842,5.72,1.1399999999999864,0.12397541287152045,2860.0,,2860.0,2970.231416215799,2510.4628324316054,2050.6942486474236,1590.925664863229,5765.371675683824,842.1199135106617,REJECT,DTE not allowed by policy [1]; Distance sigma below minimum 0.50,UNCERTAIN_SELECTIVE
SPY   260630C00735000,20260630,735.0,4,,,4.43,,,0.0,,0.5423141621580498,SPY,729.86,20.0,9.19537167568382,734.457685837842,4.43,5.139999999999986,0.5589768615435272,2215.0,,2215.0,4054.0743351367746,3865.462832431606,3405.6942486474236,2945.92566486323,4410.371675683823,671.369913510662,REJECT,DTE not allowed by policy [1],UNCERTAIN_SELECTIVE
SPY   260629C00732000,20260629,732.0,3,,,5.08,,,0.0,,2.45768583784195,SPY,729.86,20.0,9.19537167568382,734.457685837842,5.08,2.1399999999999864,0.23272577503952213,2540.0,,2540.0,3150.2314162157995,2690.462832431606,2230.6942486474236,1770.92566486323,5585.371675683823,585.1199135106622,REJECT,DTE not allowed by policy [1]; Distance sigma below minimum 0.50,UNCERTAIN_SELECTIVE
SPY   260630C00736000,20260630,736.0,4,,,3.92,,,0.0,,1.5423141621580498,SPY,729.86,20.0,9.19537167568382,734.457685837842,3.92,6.139999999999986,0.6677272237115289,1960.0000000000002,,1960.0,3799.0743351367746,4110.462832431605,3650.6942486474236,3190.92566486323,4165.371675683823,502.1199135106622,REJECT,DTE not allowed by policy [1],UNCERTAIN_SELECTIVE
SPY   260630C00737000,20260630,737.0,4,,,3.45,,,0.0,,2.54231416215805,SPY,729.86,20.0,9.19537167568382,734.457685837842,3.45,7.139999999999986,0.7764775858795306,1725.0,,1725.0,3564.0743351367746,4375.462832431606,3915.6942486474236,3455.92566486323,3900.371675683823,359.86991351066195,REJECT,DTE not allowed by policy [1],UNCERTAIN_SELECTIVE
SPY   260629C00733000,20260629,733.0,3,,,4.45,,,0.0,,1.4576858378419502,SPY,729.86,20.0,9.19537167568382,734.457685837842,4.45,3.1399999999999864,0.34147613720752384,2225.0,,2225.0,3335.2314162157995,2875.462832431606,2415.6942486474236,1955.92566486323,5400.371675683823,334.8699135106622,REJECT,DTE not allowed by policy [1]; Distance sigma below minimum 0.50,UNCERTAIN_SELECTIVE
SPY   260629C00734000,20260629,734.0,3,,,3.9,,,0.0,,0.45768583784195016,SPY,729.86,20.0,9.19537167568382,734.457685837842,3.9,4.139999999999986,0.4502264993755255,1950.0,,1950.0,3560.2314162157995,3100.462832431606,2640.6942486474236,2180.92566486323,5175.371675683823,138.61991351066217,REJECT,DTE not allowed by policy [1]; Distance sigma below minimum 0.50,UNCERTAIN_SELECTIVE
SPY   260629C00735000,20260629,735.0,3,,,3.38,,,0.0,,0.5423141621580498,SPY,729.86,20.0,9.19537167568382,734.457685837842,3.38,5.139999999999986,0.5589768615435272,1689.9999999999998,,1690.0,3529.0743351367746,3340.462832431606,2880.6942486474236,2420.925664863229,4935.371675683824,-37.38008648933851,REJECT,DTE not allowed by policy [1],UNCERTAIN_SELECTIVE
SPY   260629C00736000,20260629,736.0,3,,,2.91,,,0.0,,1.5423141621580498,SPY,729.86,20.0,9.19537167568382,734.457685837842,2.91,6.139999999999986,0.6677272237115289,1455.0,,1455.0,3294.0743351367746,3605.462832431606,3145.6942486474236,2685.92566486323,4670.371675683823,-179.63008648933805,REJECT,DTE not allowed by policy [1],UNCERTAIN_SELECTIVE
SPY   260629C00737000,20260629,737.0,3,,,2.47,,,0.0,,2.54231416215805,SPY,729.86,20.0,9.19537167568382,734.457685837842,2.47,7.139999999999986,0.7764775858795306,1235.0000000000002,,1235.0,3074.0743351367746,3885.462832431606,3425.694248647424,2965.92566486323,4390.371675683823,-301.6300864893378,REJECT,DTE not allowed by policy [1],UNCERTAIN_SELECTIVE
