as_of_date,comparison_model,comparison_state,hmm_v3_state,disagreement_type,is_opposite_bucket,severity_delta,vix,vvix,vvix_vix_ratio,vvix_vix_z_22d,vix_vix3m_ratio,vix9d_vix_ratio,term_structure_slope,realized_vol_5d,realized_vol_21d,realized_vol_trend,spy_return_1d,drawdown_21d,trend_persistence_21d,avg_pairwise_corr_21d,first_eigenvalue_share_21d,effective_rank_21d,log_det_corr_21d,warning,realized_state_1d,realized_risk_bucket_1d,vix_change_pct_1d,vvix_change_pct_1d,rv21_change_1d,vix_spike_1d,rv_expanded_1d,risk_bucket_correct_hmm_v3_1d,risk_bucket_correct_comparison_1d,exact_correct_hmm_v3_1d,exact_correct_comparison_1d,directional_vol_correct_hmm_v3_1d,directional_vol_correct_comparison_1d,v3_won_1d,v3_bucket_won_1d,realized_state_2d,realized_risk_bucket_2d,spy_return_2d,vix_change_pct_2d,vvix_change_pct_2d,rv21_change_2d,vix_spike_2d,rv_expanded_2d,risk_bucket_correct_hmm_v3_2d,risk_bucket_correct_comparison_2d,exact_correct_hmm_v3_2d,exact_correct_comparison_2d,directional_vol_correct_hmm_v3_2d,directional_vol_correct_comparison_2d,v3_won_2d,v3_bucket_won_2d,realized_state_3d,realized_risk_bucket_3d,spy_return_3d,vix_change_pct_3d,vvix_change_pct_3d,rv21_change_3d,vix_spike_3d,rv_expanded_3d,risk_bucket_correct_hmm_v3_3d,risk_bucket_correct_comparison_3d,exact_correct_hmm_v3_3d,exact_correct_comparison_3d,directional_vol_correct_hmm_v3_3d,directional_vol_correct_comparison_3d,v3_won_3d,v3_bucket_won_3d,v3_result
2026-03-02,heuristic,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,v3_downgrade,True,-2,18.63,104.15,5.590445517981751,-0.4424398017637542,0.8952426717924075,0.893719806763285,2.1799999999999997,13.40672475146523,15.538809951511833,-2.1320852000466033,-0.003759453276407143,0.015422799919657972,0.42857142857142855,0.201333,0.368234,6.094474,-6.034033,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.06602254428341392,0.06471435429668748,0.0031297206559948165,False,True,False,True,False,True,0.3333333333333333,1.0,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.002695732000524642,0.15083199141170178,0.08919827172347561,-0.003163423133610621,True,False,False,True,False,True,0.3333333333333333,1.0,false,false,HIGH_VOL_RISK_OFF,HIGHER_VOL_RISK,-0.009617206055925531,0.2651637144390768,0.11397023523763794,0.1315902781203615,True,True,False,True,False,False,0.3333333333333333,1.0,false,false,loss
2026-03-02,hmm_v1_core,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,v3_downgrade,True,-2,18.63,104.15,5.590445517981751,-0.4424398017637542,0.8952426717924075,0.893719806763285,2.1799999999999997,13.40672475146523,15.538809951511833,-2.1320852000466033,-0.003759453276407143,0.015422799919657972,0.42857142857142855,0.201333,0.368234,6.094474,-6.034033,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.06602254428341392,0.06471435429668748,0.0031297206559948165,False,True,False,True,False,True,0.3333333333333333,1.0,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.002695732000524642,0.15083199141170178,0.08919827172347561,-0.003163423133610621,True,False,False,True,False,True,0.3333333333333333,1.0,false,false,HIGH_VOL_RISK_OFF,HIGHER_VOL_RISK,-0.009617206055925531,0.2651637144390768,0.11397023523763794,0.1315902781203615,True,True,False,True,False,False,0.3333333333333333,1.0,false,false,loss
2026-03-02,hmm_v2_core_plus_sector_corr,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,v3_downgrade,True,-2,18.63,104.15,5.590445517981751,-0.4424398017637542,0.8952426717924075,0.893719806763285,2.1799999999999997,13.40672475146523,15.538809951511833,-2.1320852000466033,-0.003759453276407143,0.015422799919657972,0.42857142857142855,0.201333,0.368234,6.094474,-6.034033,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.06602254428341392,0.06471435429668748,0.0031297206559948165,False,True,False,True,False,True,0.3333333333333333,1.0,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.002695732000524642,0.15083199141170178,0.08919827172347561,-0.003163423133610621,True,False,False,True,False,True,0.3333333333333333,1.0,false,false,HIGH_VOL_RISK_OFF,HIGHER_VOL_RISK,-0.009617206055925531,0.2651637144390768,0.11397023523763794,0.1315902781203615,True,True,False,True,False,False,0.3333333333333333,1.0,false,false,loss
2026-03-03,heuristic,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,v3_downgrade,True,-2,19.86,110.89,5.583585095669688,-0.39695195007356987,0.9211502782931354,0.933031218529708,1.6999999999999993,12.49277290561282,15.541939672167828,-3.0491667665550075,0.0010677353771444409,0.019124271900375783,0.42857142857142855,0.20473,0.363719,6.018754,-6.12046,,MID_VOL_CHOP,LOW_RISK,0.07955689828801615,0.022995761565515416,-0.006293143789605438,False,False,True,False,False,False,0.3333333333333333,1.0,tie,true,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.0058798578303033144,0.18680765357502516,0.04626206150238965,0.1284605574643667,True,True,False,True,False,True,0.3333333333333333,1.0,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.004738989893080081,0.06495468277945626,-0.035620885562268945,0.23283097184264,False,True,False,True,False,True,0.3333333333333333,0.6666666666666666,false,false,loss
2026-03-03,hmm_v2_core_plus_sector_corr,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,v3_downgrade,True,-2,19.86,110.89,5.583585095669688,-0.39695195007356987,0.9211502782931354,0.933031218529708,1.6999999999999993,12.49277290561282,15.541939672167828,-3.0491667665550075,0.0010677353771444409,0.019124271900375783,0.42857142857142855,0.20473,0.363719,6.018754,-6.12046,,MID_VOL_CHOP,LOW_RISK,0.07955689828801615,0.022995761565515416,-0.006293143789605438,False,False,True,False,False,False,0.3333333333333333,1.0,tie,true,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.0058798578303033144,0.18680765357502516,0.04626206150238965,0.1284605574643667,True,True,False,True,False,True,0.3333333333333333,1.0,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.004738989893080081,0.06495468277945626,-0.035620885562268945,0.23283097184264,False,True,False,True,False,True,0.3333333333333333,0.6666666666666666,false,false,loss
2026-04-13,heuristic,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,v3_downgrade,True,-1,19.23,107.3,5.579823192927717,2.3211183695970843,0.8796889295516926,0.8559542381695268,2.629999999999999,14.760012855218196,19.42723683504606,-4.667223979827863,0.008506574597811012,0.0,0.6190476190476191,0.255157,0.511213,4.788577,-9.321521,,STABLE_LOW_VOL_TREND,LOW_RISK,-0.00572022880915235,-0.04352283317800565,-0.036884323006400876,False,False,True,False,False,False,1.0,0.6666666666666666,true,true,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.020495114963637873,-0.045241809672387,-0.11090400745573148,0.13001519724812027,False,True,False,True,False,True,1.0,0.3333333333333333,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.02938367736722247,-0.055122204888195414,-0.08993476234855535,0.13157807220637707,False,True,False,True,False,True,1.0,0.3333333333333333,false,false,loss
2026-04-14,heuristic,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,v3_downgrade,True,-1,19.12,102.63,5.367677824267782,1.5563342200104047,0.8959700093720713,0.9053347280334727,2.219999999999999,14.240850071667857,19.39035251203966,-5.149502440371801,0.011887419148068235,0.0,0.6666666666666666,0.253053,0.508313,4.804987,-9.339083,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.03974895397489553,-0.07044723764980987,0.16689952025452115,False,True,False,True,False,True,1.0,0.3333333333333333,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.020701008099760942,-0.04968619246861916,-0.04852382344343753,0.16846239521277795,False,True,False,True,False,True,1.0,0.3333333333333333,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.022988170852514367,-0.061715481171548126,-0.05680600214362275,0.16843323700038937,False,True,False,True,False,True,1.0,0.3333333333333333,false,false,loss
2026-04-15,heuristic,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,v3_downgrade,True,-1,18.36,95.4,5.196078431372549,0.9838814614724788,0.8818443804034581,0.9139433551198258,2.460000000000001,6.916574037742127,19.55725203229418,-12.640677994552053,0.008710048949035265,0.0,0.7142857142857143,0.234408,0.496274,4.965376,-8.698927,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.010348583877995532,0.02358490566037741,0.0015628749582567991,False,True,False,True,False,True,0.6666666666666666,0.6666666666666666,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.010970342643247921,-0.02287581699346397,0.01467505241090139,0.0015337167458682188,False,True,False,True,False,True,0.6666666666666666,0.6666666666666666,false,false,STABLE_LOW_VOL_TREND,LOW_RISK,0.023250791822631678,-0.04793028322440085,-0.002830188679245338,-0.6470058705378818,False,False,True,False,False,False,1.0,0.3333333333333333,true,true,loss
2026-04-20,heuristic,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,v3_downgrade,True,-2,17.48,95.13,5.442219679633867,1.2999141624457013,0.8522671867381765,0.8501144164759725,3.030000000000001,6.294927429461442,18.910246161756298,-12.615318732294856,-0.0017727752374252503,0.0,0.7619047619047619,0.17345,0.491072,5.017255,-8.636281,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.07951945080091538,0.031746031746031855,0.0570141132353541,False,True,False,True,False,True,0.3333333333333333,1.0,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.0052761167780513984,0.11556064073226535,0.0710606538421108,-0.5814368611932181,True,False,False,True,False,True,0.3333333333333333,0.6666666666666666,false,false,MID_VOL_CHOP,LOW_RISK,-0.00045022863172716754,0.08237986270022901,0.03784295175023655,-0.5855808940288227,False,False,True,False,False,False,0.3333333333333333,0.6666666666666666,tie,true,loss
2026-04-22,heuristic,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,v3_downgrade,True,-1,19.5,101.89,5.225128205128205,0.6986765234764485,0.906555090655509,1.0364102564102564,2.0100000000000016,10.616068098686785,18.32880930056308,-7.712741201876295,0.004851485148514856,0.005276116778051354,0.7142857142857143,0.162757,0.504913,4.871509,-8.673537,,STABLE_LOW_VOL_TREND,LOW_RISK,-0.029743589743589705,-0.0310138384532338,-0.004144032835604605,False,False,True,False,False,False,1.0,0.3333333333333333,true,true,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.0035926449787835324,-0.009743589743589798,-0.03258415938757486,0.05862075111344467,False,True,False,True,False,True,1.0,0.6666666666666666,false,false,STABLE_LOW_VOL_TREND,LOW_RISK,0.009915134370579892,-0.04051282051282046,-0.046226322504661854,-0.09503304765205556,False,False,True,False,False,False,1.0,0.3333333333333333,true,true,win
2026-04-23,heuristic,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,v3_downgrade,True,-1,18.92,98.73,5.218287526427061,0.6255208346877821,0.8907721280602638,0.8995771670190273,2.3199999999999967,9.762909112163985,18.324665267727475,-8.56175615556349,-0.001252762411497188,0.0004502286317271193,0.7142857142857143,0.159283,0.513305,4.758012,-8.849616,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.020613107822409882,-0.0016205813835714622,0.06276478394904927,False,True,False,True,False,True,0.6666666666666666,1.0,false,false,STABLE_LOW_VOL_TREND,LOW_RISK,0.005039201610292476,-0.011099365750528611,-0.01569938215334743,-0.09088901481645095,False,False,True,False,False,False,1.0,0.3333333333333333,true,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.008206297594414602,-0.04756871035940813,-0.04932644586245316,-0.993736203931288,False,False,True,False,False,False,1.0,0.0,true,true,win
2026-05-01,heuristic,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,v3_downgrade,True,-2,16.89,93.7,5.547661338069863,1.3247200551343337,0.8411354581673308,0.8431024274718768,3.1899999999999977,8.421838582844314,10.081049071786666,-1.6592104889423513,0.0001805881617513716,0.0,0.8095238095238095,0.202176,0.444802,4.89047,-8.866235,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.005920663114268754,0.01568836712913546,0.11758836110424475,False,True,False,True,False,True,0.3333333333333333,1.0,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.0029310847791962358,0.082889283599763,0.04898612593383134,0.42024445854160497,False,True,False,True,False,True,0.0,1.0,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.009154430661091562,0.02901124925991705,0.01664887940234805,0.7435534212521002,False,True,False,True,False,True,0.0,1.0,false,false,loss
2026-05-04,heuristic,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,v3_downgrade,True,-2,16.99,95.17,5.601530311948205,1.4087666642154357,0.8340697103583701,0.8328428487345498,3.3800000000000026,7.976830829539641,10.19863743289091,-2.2218066033512693,-0.0031111111111111756,0.0,0.8095238095238095,0.225342,0.4608,4.722843,-9.182559,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.07651559741024139,0.03278344015971424,0.3026560974373602,False,True,False,True,False,True,0.0,1.0,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.008972222222222381,0.022954679223072372,0.0009456761584534235,0.6259650601478555,False,True,False,True,False,True,0.3333333333333333,1.0,false,false,STABLE_LOW_VOL_TREND,LOW_RISK,0.01805555555555549,0.023543260741612837,-0.015446043921403807,-1.6485956571452824,False,False,True,False,True,False,0.6666666666666666,0.3333333333333333,true,true,loss
2026-05-05,heuristic,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,v3_downgrade,True,-2,18.29,98.29,5.373974849644615,0.5510358951553984,0.8688836104513064,0.8983050847457628,2.7600000000000016,8.470702946400625,10.50129353032827,-2.030590583927646,0.012121043245653107,0.003111111111111124,0.7619047619047619,0.235115,0.470613,4.634957,-9.463711,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.049753963914707544,-0.030827144165225362,0.32330896271049525,False,True,False,True,False,True,0.6666666666666666,0.3333333333333333,false,false,STABLE_LOW_VOL_TREND,LOW_RISK,0.021232724030316508,-0.04920721705850184,-0.046698545121579005,-1.9512517545826427,False,False,True,False,True,False,1.0,0.0,true,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.01905929558626851,-0.0661563696008749,-0.04761420286906104,-1.7244031125102506,False,False,True,False,True,False,1.0,0.0,true,true,win
2026-05-07,heuristic,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,v3_downgrade,True,-2,17.39,93.7,5.388154111558367,0.4450975833329877,0.8454059309674283,0.8269120184013801,3.1799999999999997,10.25200932653343,8.550041775745628,1.7019675507878027,-0.002128240109140478,0.0,0.7619047619047619,0.222853,0.455948,5.099735,-7.990304,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.01782633697527325,-0.0009605122732123661,0.22684864207239208,False,True,False,True,False,True,0.6666666666666666,0.6666666666666666,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.006575716234652251,-0.011500862564692294,0.03287086446104581,0.33187179680930434,False,True,False,True,False,True,0.3333333333333333,0.6666666666666666,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.008567530695770875,0.05692926969522705,0.04653148345784408,0.3329163957053858,False,True,False,True,False,True,0.0,1.0,false,false,loss
